source_id,source_file,source_row,original_question,original_answer_and_rationale,correct_option_letter,correct_option_text,generated_question_type,generated_question,generated_answer,provenance,review_status
0a0fc02234b3,deck_22784887.csv,1,"An 18-year-old woman is evaluated for chest wall and breast asymmetry. She has a history of pectus excavatum and underwent surgery as a child for placement of a correction bar, which was subsequently removed 3 years after insertion. Since the removal of the bar, she has noticed progressive recurrence of her chest wall deformity with associated breast asymmetry. Physical examination shows a thin patient with a 4-cm deep concavity involving the lower end of the sternum and medial distortion of the right breast. The patient denies shortness of breath or chest pain. Which of the following treatment options is the most appropriate recommendation for contour improvement?

A) Autologous transfer of fat tissue to the sternal defect and right breast
B) Implantation of a customized silicone elastomer device with concurrent augmentation mammaplasty
C) Injection transplantation of cultured autologous chondrocytes
D) Placement of bilateral silicone breast implants greater than 550 cc
E) Reinsertion of the correction bar with sternal wiring","The correct response is Option B.

When considering how best to treat pectus excavatum in the female patient, it is important to recognize that the majority of the contour deformity is due to the thoracic concavity with only a small portion of the deformity due to actual breast tissue hypoplasia. However, reinsertion of a correction bar is not always successful in correcting the thoracic deformity in post-adolescent patients whose bones have ossified, and is only done in extreme cases. Augmentation mammaplasty is also unsuccessful, regardless of implant volume, since, as stated above, only a small portion of the defect is actually caused by breast tissue asymmetry. Although some might consider autologous fat grafting a viable option for correcting both the chest wall defect and the hypoplastic breast, there have been reports that indicate that injecting between the tight adhesions of presternal skin and bone is technically challenging and rarely successful. Injection of cultured autologous chondrocytes, which is still in the early stages of research and development, would prove to be equally technically challenging, and at this time, de novo generation of cartilage or fat for injection into soft-tissue defects is still unproven. As a result, customized silicone elastomer implants are commonly used in conjunction with augmentation mammaplasty to provide consistent and reliable correction of pectus excavatum and breast asymmetry in the female patient. Studies have shown that placing a custom sternal prosthesis and bilateral breast implants during one surgery is both safe and effective in producing an improved aesthetic result.

2018",B,Implantation of a customized silicone elastomer device with concurrent augmentation mammaplasty,Open-ended concept retrieval,"Concept-retrieval follow-up: What key clinical, anatomic, or management principle makes 'Implantation of a customized silicone elastomer device with concurrent augmentation mammaplasty' the best answer for a patient like the one described?","When considering how best to treat pectus excavatum in the female patient, it is important to recognize that the majority of the contour deformity is due to the thoracic concavity with only a small portion of the deformity due to actual breast tissue hypoplasia. However, reinsertion of a correction bar is not always successful in correcting the thoracic deformity in post-adolescent patients whose bones have ossified, and is only done in extreme cases.",Generated companion based on user-provided source item,Needs plastic surgery faculty review before publication
4100ade7ec38,deck_22784887.csv,2,"A 5-year-old boy is evaluated for a cerebrospinal fluid leak and a 3 × 3-cm area of wound dehiscence involving the posterior trunk following tethered cord repair. Which of the following is the most appropriate method for reconstructing the wound?

A) Gluteal muscle flap and skin advancement flap
B) Latissimus muscle flap and skin advancement flap
C) Local fascial flap and skin advancement flap
D) Skin advancement flap only
E) Split-thickness skin graft","The correct response is Option C.

The most appropriate method to reconstruct the wound is a local fascial flap and skin advancement flap. The major principle of tethered cord and myelomeningocele repair is to obtain a well-vascularized layer of soft-tissue coverage between the dural and skin closures. The fascia overlying the paraspinous muscles can be turned over as flaps to cover the underlying dural repair. This vascularized soft-tissue layer will minimize the risk of cerebrospinal fluid leak by reinforcing the dural repair. In addition, the fascial flaps will prevent contact with cutaneous bacteria and subsequent meningitis if either the dural repair or skin repair breaks down.

A split-thickness skin graft over the dura would not adequately protect the spinal cord. Closing the skin directly over the dural repair using skin advancement flaps would place the child at risk for meningitis in the event of a cerebrospinal fluid leak or if wound breakdown occurred along the incision line of the widely undermined skin flaps.

The use of a regional gluteal or latissimus muscle flap to cover the dural repair is unnecessary because local tissue (paraspinous muscle fascia) is available. Harvesting the gluteal or latissimus muscles also may cause significant donor site morbidity in a child already at risk for ambulatory problems from a neurological deficit.

2018",C,Local fascial flap and skin advancement flap,Open-ended concept retrieval,"Concept-retrieval follow-up: What key clinical, anatomic, or management principle makes 'Local fascial flap and skin advancement flap' the best answer for a patient like the one described?",The most appropriate method to reconstruct the wound is a local fascial flap and skin advancement flap. The major principle of tethered cord and myelomeningocele repair is to obtain a well-vascularized layer of soft-tissue coverage between the dural and skin closures.,Generated companion based on user-provided source item,Needs plastic surgery faculty review before publication
136d0c6a3c1e,deck_22784887.csv,3,"A 30-year-old woman is evaluated for a mass on the anterior abdominal wall that has been growing over the past several months. Imaging and examination of the specimen obtained on biopsy confirm a diagnosis of desmoid-type fibromatosis arising from the anterior abdominal musculature. Which of the following is the most accurate statement regarding this condition?

A) It is associated with previous radiation exposure
B) It is locally aggressive with remote risk of metastatic disease
C) It usually arises from an untreated lipoma
D) Primary treatment is combination chemotherapy/radiation
E) There is an autosomal recessive genetic inheritance pattern","The correct response is Option B.

This patient has a desmoid tumor, a rare, locally infiltrative mesenchymal neoplasm that is most commonly found in adolescents and young adults. It does not metastasize but can have a very unpredictable and aggressive natural history. Treatment can range from close observation (as some tumors will self-involute) to radical excision with wide margins. Traditionally, surgical excision can be difficult because of the high risk of local recurrence.

Desmoid tumors are not associated with chemical or radiation exposures, or lipomas.

Metastatic disease is not a characteristic of desmoid tumors.

Although treatment modalities for desmoids are evolving, they are not treated with chemotherapy/radiation therapy as a primary modality. Primary treatment is frequently observation for small or slowly changing tumors. For rapidly growing tumors, radical excision is frequently performed.

There does not appear to be a genetically inherited component for desmoid tumors, although they are associated with random mutations of the ?-catenin (CTNNB1) and adenomatous polyposis coli (APC) genes.

2018",B,It is locally aggressive with remote risk of metastatic disease,Open-ended concept retrieval,"Concept-retrieval follow-up: What key clinical, anatomic, or management principle makes 'It is locally aggressive with remote risk of metastatic disease' the best answer for a patient like the one described?","This patient has a desmoid tumor, a rare, locally infiltrative mesenchymal neoplasm that is most commonly found in adolescents and young adults. It does not metastasize but can have a very unpredictable and aggressive natural history.",Generated companion based on user-provided source item,Needs plastic surgery faculty review before publication
ea6c45911c43,deck_22784887.csv,4,"An 18-year-old woman comes to the office to discuss her congenital breast asymmetry. Physical examination shows asymmetry in the size and shape of the right breast and nipple-areola complex compared with the left breast. Additionally, there is an absence of the right anterior axillary fold. A photograph is shown. Which of the following is the most likely origin of the absent muscle in this patient?

A) Ectoderm
B) Endoderm
C) Mesoderm
D) Neuroectoderm
E) Notochord","The correct response is Option C.

The patient above has Poland syndrome. Poland syndrome represents a spectrum of congenital chest wall anomalies ranging from the simple form (depicted in the preoperative photograph) to complex. The pathognomonic feature is the absence of the sternocostal head of the pectoralis major muscle. A variety of other ipsilateral chest wall and upper extremity malformations may be present, including absence of ribs two through five, foreshortening of the limb, brachysyndactyly, hypoplasia/aplasia of the breast and nipple-areola complex, and absence/hypotrophy of various trunk muscles including the latissimus dorsi, serratus anterior and external oblique. Although a few familial cases have been reported, Poland syndrome is believed to be sporadic in nature with an incidence of 1:100,000. There is a male-to-female predilection of 3:1, with a right-sided predominance in boys of 2:1. The patient is shown two months after reconstruction with a right latissimus flap and bilateral silicone gel-filled implants.

The trunk develops from the fusion of the ectoderm/neural crest layer with the somatic mesoderm during the fourth week of gestation. Mesoderm gives rise to somites, which differentiate into the dorsolateral dermomyotome and the ventromedial sclerotome. The dermomyotome gives rise to the musculature of the trunk and extremities. The sclerotome surrounds the developing spinal cord and notochord and forms the vertebral bodies and spinal skeletal structure. The notochord acts as a pathway for the development of the spinal cord and vertebral bodies. The notochord degenerates as the vertebral bodies develop and becomes the nucleus pulposus of the intervertebral disks.

The exact pathophysiology of Poland syndrome has not been elucidated. One theory suggests a mechanical disruption of the embryonic blood supply in the subclavian/vertebral systems during the sixth to seventh week of gestation. Another theory suggests the etiology to be an injury or developmental failure of the mesodermal plate during the third to fourth week of gestation.

Endoderm is the primitive germ layer that gives rise to the epithelium of the respiratory and gastrointestinal tracts. Ectoderm is divided into surface ectoderm and neuroectoderm. Surface ectoderm gives rise to the epidermis, adnexal structures of the skin, and the mammary glands. Neuroectoderm becomes the central nervous system, various neural ganglia, and the branchial arches.",C,Mesoderm,Open-ended concept retrieval,"Concept-retrieval follow-up: What key clinical, anatomic, or management principle makes 'Mesoderm' the best answer for a patient like the one described?",The patient above has Poland syndrome. Poland syndrome represents a spectrum of congenital chest wall anomalies ranging from the simple form (depicted in the preoperative photograph) to complex.,Generated companion based on user-provided source item,Needs plastic surgery faculty review before publication
8d2a46e75175,deck_22784887.csv,5,"During a ventral hernia repair and abdominal wall reconstruction, a surgeon wishes to achieve full primary fascial closure over an intraperitoneal mesh. However, the fascia is under tension and requires a component separation to achieve full closure with minimal tension. Component separation technique involves which of the following?

A) Incision of the anterior rectus sheath
B) Internal oblique aponeurotomy
C) Ligation of periumbilical perforators
D) Plication of the linea semilunaris
E) Preservation of intercostal nerves","The correct response is Option E.

Preservation of segmental intercostal nerves is a critical aspect of component separation.

Component separation is a powerful technique used during abdominal wall reconstruction to advance the abdominal fascia towards the midline and allow for primary closure with reduced tension.

A component separation is performed by making an incision longitudinally in the external oblique aponeurosis, just lateral to the linea semilunaris. Only the fascia is cut, not the external oblique muscle. This allows for advancement of a myofascial complex consisting of the rectus abdominus muscle, internal oblique muscle and fascia, and transversalis muscle and fascia.

The segmental intercostal nerves that supply the anterior abdominal wall run between the internal oblique and the transversalis muscle. They are deeper than the incision and dissection plane with component separation, and are thus protected from injury. This maintains abdominal wall tone in patients undergoing this procedure.

External oblique aponeurotomy, not internal oblique aponeurotomy, is involved in component separation. Incision of the anterior rectus sheath is not part of component separation, although some modifications include incision of the posterior rectus sheath to release more fascia available for primary closure. Plication of the linea semilunaris is not a part of component separation. Ligation of periumbilical perforators is commonly performed in the standard, open approach to component separation, but it is not considered a critical component of the procedure, as it is possible to perform a perforator-sparing component separation.

2018",E,Preservation of intercostal nerves,Open-ended concept retrieval,"Concept-retrieval follow-up: What key clinical, anatomic, or management principle makes 'Preservation of intercostal nerves' the best answer for a patient like the one described?",Preservation of segmental intercostal nerves is a critical aspect of component separation.,Generated companion based on user-provided source item,Needs plastic surgery faculty review before publication
83fdbe35fce0,deck_22784887.csv,6,"An 80-year-old man comes to the office because of recurrent squamous cell carcinoma of the cervical skin. Following reconstruction with a pectoralis myocutaneous flap, the distal half of the skin paddle appears ischemic and eventually exhibits necrosis and full-thickness skin loss. Transection of which of the following structures is most likely responsible for this complication?

A) Lateral thoracic artery
B) Medial pectoral vein
C) Posterior intercostal vasculature
D) Thoracodorsal artery
E) Transverse cervical vessel","The correct response is Option A.

The pectoralis major muscle has three major blood supplies. In general, the internal mammary perforators and the thoracoacromial vessels are dominant, with additional perfusion through the lateral thoracic artery. Turnover pectoralis flaps for sternal reconstruction based on the internal mammary perforators are generally well perfused. Likewise, in most situations a pedicled myofascial or myocutaneous flap based on the thoracoacromial vessels (with the other blood supplies ligated) is robust and can be used for most types of head and neck reconstruction. Although described earlier, the flap became the ""workhorse"" of head and neck reconstruction after Ariyan’s classic article in 1979. Versus a free tissue transfer, the pectoralis flap has many detractors, including being tethered to its pedicle. In about 6% of cases, the lateral thoracic vessel is the dominant pedicle to the flap and needs to be incorporated for maximal perfusion for head and neck reconstruction. This of course further decreases some of the mobility of the flap. This phenomenon is usually easily discernible by the larger caliber of the lateral thoracic vessels versus the thoracoacromial vessels. In this case, this was the most likely injured vessel, causing the described outcome.

The transverse cervical vessels do supply the posterior thorax, and the intercostal vessels do supply the anterior chest, including breast tissue, but neither gives important perfusion to the pectoralis flap. The lateral pectoral nerve travels with the thoracoacromial vessels and, if not checked when turning the flap, can kink the vascular pedicle and, if not severed, does not allow the flap to decrease in size because of lack of denervation of the muscle. The medial pectoral nerve is another innervation to the pectoralis major muscle and is usually severed during flap elevation. The thoracodorsal artery does not supply the pectoralis muscle.

2018",A,Lateral thoracic artery,Open-ended concept retrieval,"Concept-retrieval follow-up: What key clinical, anatomic, or management principle makes 'Lateral thoracic artery' the best answer for a patient like the one described?","The pectoralis major muscle has three major blood supplies. In general, the internal mammary perforators and the thoracoacromial vessels are dominant, with additional perfusion through the lateral thoracic artery.",Generated companion based on user-provided source item,Needs plastic surgery faculty review before publication
367eb88b71cc,deck_22784887.csv,7,"A 59-year-old man is scheduled for reconstruction of a central abdominal wall hernia measuring 10 cm wide x 30 cm long. A surgical approach using posterior component separation is planned. Which of the following locations for fascial incision most accurately describes the technical considerations of this procedure?

A) Across the lateral intercostal neurovascular bundles
B) Along the mid-axillary line
C) Medial to the linea semilunaris
D) Parallel to the subcostal border
E) Vertical bisection of the rectus muscles","The correct response is Option C.

Component separation of the abdominal wall was initially described for the anterior components, that is, those which are located anterior to the rectus muscle. A more recent development involves component separation of the layers located posterior to the rectus fascia. The technique of posterior component separation begins with a vertical incision of the posterior rectus sheath 0.5 cm medial to the linea semilunaris and continues laterally in the avascular plane posterior to the transversalis muscle. It can extend as far posteriorly as the psoas muscle if needed. In the event that the posterior layer cannot be approximated in the midline, an interposition patch of omental fat, hernia sac, or absorbable mesh is used. Concurrent use of non-absorbable mesh to reconstruct deficient anterior layers may be used in conjunction with the posterior separation technique as long as the mesh is separated from viscera with an intact posterior layer. A benefit of the posterior separation technique is the preservation of the lateral neurovascular bundles preserving the dynamic function of the rectus muscles. The technique may be utilized even when fascial defects are not situated in the midline or are located adjacent to bony landmarks.

2018",C,Medial to the linea semilunaris,Open-ended concept retrieval,"Concept-retrieval follow-up: What key clinical, anatomic, or management principle makes 'Medial to the linea semilunaris' the best answer for a patient like the one described?","Component separation of the abdominal wall was initially described for the anterior components, that is, those which are located anterior to the rectus muscle. A more recent development involves component separation of the layers located posterior to the rectus fascia.",Generated companion based on user-provided source item,Needs plastic surgery faculty review before publication
34deb6f7354d,deck_22784887.csv,8,"A 43-year-old woman, gravida 3, para 3, undergoes a combined panniculectomy and hernia repair. The planned hernia repair is a retrorectus repair without components separation with polypropylene mesh. Which of the following best describes an advantage of using polypropylene mesh compared with a biologic scaffold?

A) Decreased need for components separation
B) Decreased recurrence rate
C) Increased collagen cross-linking
D) Increased resistance to infection","The correct response is Option B.

In general, the indication to use biologic scaffolds in hernia repairs and abdominal reconstruction is in contaminated beds. Biologic scaffolds provide an intact extracellular matrix and support tissue regeneration, and are more resistant to infection than synthetic mesh, likely because of this tissue ingrowth. Biologic scaffolds, unlike synthetic mesh, are degraded over time by collagenase. This accounts for at least some of the higher recurrence rates seen with biologics compared to synthetic mesh. Cross-linking of the scaffold may provide resistance to collagenase and improve long-term stability.

Thus, better resistance to infection is a property of biologic scaffolds, as is collagen cross-linking, although the degree of cross-linking varies based on the particular scaffold. They are associated with a higher cost and an increased recurrence rate. Their high cost compared with synthetic mesh does not justify their routine use, and the recommendation for their use by the Ventral Hernia Working Group is in contaminated fields, with infected mesh and septic dehiscence.

The need for components separation is based on the properties of the hernia itself and is independent of the type of mesh used. Components separation without mesh is, however, associated with a high recurrence rate.

2018",B,Decreased recurrence rate,Open-ended concept retrieval,"Concept-retrieval follow-up: What key clinical, anatomic, or management principle makes 'Decreased recurrence rate' the best answer for a patient like the one described?","In general, the indication to use biologic scaffolds in hernia repairs and abdominal reconstruction is in contaminated beds. Biologic scaffolds provide an intact extracellular matrix and support tissue regeneration, and are more resistant to infection than synthetic mesh, likely because of this tissue ingrowth.",Generated companion based on user-provided source item,Needs plastic surgery faculty review before publication
0a8ec103f295,deck_22784887.csv,9,"In addition to the typical chest wall deformities, which of the following is the most common associated clinical presentation of patients suffering from Poland syndrome?

A) Dextrocardia
B) Lung hernia
C) Renal malformation
D) Thyroid malignancies
E) Upper extremity anomalies","The correct response is Option E.

Poland syndrome is the rare congenital condition describing the absence of the breast or nipple, hypoplasia of subcutaneous tissue, absence of the costosternal portion of the pectoralis major muscle, absence of the pectoralis minor muscle, and absence of costal cartilages or ribs 2, 3, and 4 or 3, 4, and 5, occasionally even rib 6. Its aesthetic and functional impairment varies between individuals and highly depends on the severity of the disease. Boys are three times as likely to be affected as girls. Incidence ranges between 1:100,000 to 1:7,000 cases per live births.

Various concomitant anomalies have been published in association with Poland syndrome that typically necessitate a multi-disciplinary approach towards the diagnosis and treatment of this congenital illness. Upper extremity anomalies, renal malformation, lung hernia, and dextrocardia have all been described in literature as related to Poland syndrome. Anomalies of the upper extremity are the most common concomitant malformation besides the chest wall defects.

2018",E,Upper extremity anomalies,Open-ended concept retrieval,"Concept-retrieval follow-up: What key clinical, anatomic, or management principle makes 'Upper extremity anomalies' the best answer for a patient like the one described?","Poland syndrome is the rare congenital condition describing the absence of the breast or nipple, hypoplasia of subcutaneous tissue, absence of the costosternal portion of the pectoralis major muscle, absence of the pectoralis minor muscle, and absence of costal cartilages or ribs 2, 3, and 4 or 3, 4, and 5, occasionally even rib 6. Its aesthetic and functional impairment varies between individuals and highly depends on the severity of the disease.",Generated companion based on user-provided source item,Needs plastic surgery faculty review before publication
73a541cc70ea,deck_22784887.csv,10,"A 22-year-old man comes to the office reporting breast enlargement that began 7 years ago. Physical examination shows bilateral breast enlargement. Testicular examination is normal. BMI is 27 kg/m2. Which of the following evaluations is best for distinguishing gynecomastia from pseudogynecomastia in this patient?

A) History of medication use
B) Laboratory testing
C) Mammography
D) MRI
E) Physical examination","The correct response is Option E.

Gynecomastia is benign enlargement of the glandular breast tissue in a man. It is often related to factors that either results in an increase in estrogen production, or a decrease in androgen production. This can be due to the transient imbalances during puberty, or secondary to medication use, drug use (such as marijuana), testicular pathology, thyroid disease, liver disease, breast cancer, etc.

This is in contrast to pseudogynecomastia, which is enlargement of the breast due to fat deposition in the absence of glandular hypertrophy. Pseudogynecomastia is typically seen in the patient who is overweight or obese.

Pseudogynecomastia is distinguished from gynecomastia by physical examination. In true gynecomastia, one will palpate enlarged firm glandular breast tissue, as opposed to in pseudogynecomastia, where palpation will reveal a soft fatty breast throughout with no enlargement of the subareolar tissue.

History may suggest a pathologic etiology that will be confirmed on laboratory testing. Medication and drug use questioning will show if the gynecomastia is pharmacologic in origin. Mammography and MRI will aid in determining if there is a malignant etiology causing the breast tissue enlargement. However, it is not standard for gynecomastia evaluation.

2018",E,Physical examination,Open-ended concept retrieval,"Concept-retrieval follow-up: What key clinical, anatomic, or management principle makes 'Physical examination' the best answer for a patient like the one described?","Gynecomastia is benign enlargement of the glandular breast tissue in a man. It is often related to factors that either results in an increase in estrogen production, or a decrease in androgen production.",Generated companion based on user-provided source item,Needs plastic surgery faculty review before publication
